,inputs,outputs,intention
19,"[0, 0, 2.0, 0, 0, 0.07407407407407407, 0, 0, 0.15384615384615385, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.07407407407407407, 0, 0, 0.15384615384615385]","[0, 0, 0, 1]",wall move
20,"[0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.05128205128205128]","[0, 1, 0, 0]",wall move
21,"[0, 0, 0.05128205128205128, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523, 0, 0, 2.0]","[0, 1, 0, 0]",wall move
22,"[0, 0, 0.046511627906976744, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.11764705882352941, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.11764705882352941, 0, 0, 2.0]","[1, 0, 0, 0]",wall move
23,"[1, 0, 0.03389830508474576, 0, 0, 0.06451612903225806, 0, 0, 0.2222222222222222, 0, 0, 2.0, 0, 0, 0.06451612903225806, 0, 0, 0.2222222222222222, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
24,"[0, 1, 0.05405405405405406, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.08695652173913043, 0, 0, 0.4, 0, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.08695652173913043]","[0, 1, 0, 0]",munch
25,"[0, 0, 0.04878048780487805, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 1, 0.10526315789473684, 0, 0, 0.4, 0, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.10526315789473684]","[1, 0, 0, 0]",food move
26,"[0, 0, 0.2222222222222222, 0, 1, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.0392156862745098, 0, 0, 0.2222222222222222, 0, 0, 0.2222222222222222, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",food move
27,"[1, 0, 0.0392156862745098, 0, 1, 0.4, 0, 0, 0.05714285714285714, 0, 0, 0.2222222222222222, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.2222222222222222]","[0, 0, 0, 1]",munch
28,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",wall move
29,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",wall move
30,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",wall move
31,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",wall move
32,"[0, 0, 2.0, 0, 0, 0.06451612903225806, 0, 0, 0.2222222222222222, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.06451612903225806, 0, 0, 0.2222222222222222]","[0, 0, 1, 0]",wall move
33,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",wall move
34,"[1, 0, 0.03773584905660377, 0, 0, 0.4, 0, 0, 0.05714285714285714, 0, 1, 0.2857142857142857, 0, 0, 0.4, 0, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.2857142857142857]","[1, 0, 0, 0]",munch
35,"[0, 0, 0.6666666666666666, 0, 1, 0.06451612903225806, 0, 0, 0.2222222222222222, 1, 0, 0.03508771929824561, 0, 0, 0.6666666666666666, 0, 0, 0.6666666666666666, 1, 0, 0.06451612903225806, 0, 0, 0.2222222222222222]","[0, 0, 0, 1]",food move
36,"[0, 0, 0.03636363636363636, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.4, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.4]","[1, 0, 0, 0]",wall move
37,"[0, 0, 0.2222222222222222, 0, 1, 0.2222222222222222, 1, 0, 0.06451612903225806, 0, 0, 0.0392156862745098, 0, 0, 0.2222222222222222, 0, 0, 0.2222222222222222, 0, 0, 0.2222222222222222, 0, 0, 0.06451612903225806]","[0, 0, 0, 1]",munch
38,"[0, 0, 0.03389830508474576, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 2.0]","[0, 1, 0, 0]",wall move
39,"[0, 0, 0.2222222222222222, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.0392156862745098, 0, 0, 2.0, 0, 0, 0.2222222222222222, 0, 0, 2.0, 0, 0, 0.05128205128205128]","[1, 0, 0, 0]",wall move
40,"[0, 0, 0.04878048780487805, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.10526315789473684, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.10526315789473684, 0, 0, 2.0]","[1, 0, 0, 0]",wall move
41,"[0, 0, 2.0, 0, 0, 0.13333333333333333, 0, 0, 0.08, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.13333333333333333, 0, 0, 0.08]","[0, 0, 0, 1]",wall move
42,"[0, 1, 0.04878048780487805, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.10526315789473684, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.10526315789473684, 0, 0, 2.0]","[0, 1, 0, 0]",wall move
43,"[0, 0, 2.0, 0, 0, 0.4, 0, 0, 0.05714285714285714, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.4, 1, 0, 0.05714285714285714]","[0, 0, 0, 1]",wall move
44,"[0, 0, 0.2857142857142857, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.03773584905660377, 0, 0, 2.0, 0, 0, 0.2857142857142857, 0, 0, 2.0, 0, 0, 0.05128205128205128]","[0, 1, 0, 0]",wall move
45,"[0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.05128205128205128]","[0, 1, 0, 0]",wall move
46,"[0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.05128205128205128]","[1, 0, 0, 0]",wall move
47,"[0, 1, 0.06896551724137931, 0, 0, 0.05128205128205128, 0, 0, 2.0, 1, 0, 0.06451612903225806, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806, 0, 0, 2.0]","[0, 1, 0, 0]",munch
48,"[0, 0, 2.0, 0, 0, 0.6666666666666666, 0, 0, 0.05405405405405406, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.6666666666666666, 1, 0, 0.05405405405405406]","[0, 0, 1, 0]",wall move
49,"[0, 0, 0.05128205128205128, 0, 0, 0.10526315789473684, 1, 0, 0.09523809523809523, 0, 1, 0.09523809523809523, 0, 0, 0.10526315789473684, 0, 0, 0.09523809523809523, 0, 0, 0.10526315789473684, 0, 0, 0.09523809523809523]","[1, 0, 0, 0]",food move
50,"[0, 0, 0.07407407407407407, 0, 1, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.06060606060606061, 0, 0, 0.07407407407407407, 0, 0, 0.18181818181818182, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",food move
51,"[0, 1, 0.05714285714285714, 0, 0, 0.10526315789473684, 1, 0, 0.09523809523809523, 0, 0, 0.08, 0, 0, 0.10526315789473684, 0, 0, 0.09523809523809523, 0, 0, 0.10526315789473684, 1, 0, 0.09523809523809523]","[0, 1, 0, 0]",food move
52,"[0, 1, 0.05128205128205128, 0, 0, 0.18181818181818182, 1, 0, 0.06896551724137931, 0, 0, 0.09523809523809523, 0, 0, 0.18181818181818182, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 0, 0, 0.09523809523809523]","[0, 1, 0, 0]",food move
53,"[0, 0, 0.06451612903225806, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.06451612903225806, 0, 0, 2.0, 1, 0, 0.06896551724137931, 0, 0, 2.0]","[0, 1, 0, 0]",wall move
54,"[1, 0, 0.03773584905660377, 0, 0, 0.10526315789473684, 0, 0, 0.09523809523809523, 0, 1, 0.2857142857142857, 0, 0, 0.10526315789473684, 0, 0, 0.09523809523809523, 0, 0, 0.2857142857142857, 0, 0, 0.2857142857142857]","[1, 0, 0, 0]",munch
55,"[0, 1, 0.05405405405405406, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.08695652173913043, 0, 0, 0.4, 0, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.08695652173913043]","[0, 1, 0, 0]",food move
56,"[0, 0, 0.07407407407407407, 0, 1, 0.13333333333333333, 1, 0, 0.08, 0, 0, 0.06060606060606061, 0, 0, 0.13333333333333333, 0, 0, 0.08, 0, 0, 0.13333333333333333, 0, 0, 0.08]","[0, 0, 0, 1]",munch
57,"[0, 0, 0.05128205128205128, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.09523809523809523, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523]","[0, 1, 0, 0]",wall move
58,"[0, 0, 0.04878048780487805, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.10526315789473684, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.10526315789473684]","[1, 0, 0, 0]",wall move
59,"[0, 0, 0.05128205128205128, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.09523809523809523, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523]","[1, 0, 0, 0]",wall move
60,"[0, 0, 0.06896551724137931, 0, 1, 0.2222222222222222, 0, 0, 0.06451612903225806, 1, 0, 0.06451612903225806, 0, 0, 0.2222222222222222, 0, 0, 0.06896551724137931, 0, 0, 0.2222222222222222, 1, 0, 0.06451612903225806]","[0, 0, 0, 1]",munch
61,"[0, 0, 0.05405405405405406, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.08695652173913043, 0, 0, 2.0, 0, 0, 0.05405405405405406, 0, 0, 2.0, 1, 0, 0.08695652173913043]","[0, 1, 0, 0]",wall move
62,"[0, 0, 0.06451612903225806, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06896551724137931, 0, 0, 2.0, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.06896551724137931]","[1, 0, 0, 0]",wall move
63,"[0, 0, 0.6666666666666666, 0, 1, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03508771929824561, 0, 0, 0.6666666666666666, 0, 0, 0.6666666666666666, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",food move
64,"[0, 1, 0.06896551724137931, 0, 0, 0.6666666666666666, 1, 0, 0.05405405405405406, 0, 0, 0.06451612903225806, 0, 0, 0.6666666666666666, 0, 0, 0.06896551724137931, 0, 0, 0.6666666666666666, 0, 0, 0.06451612903225806]","[0, 1, 0, 0]",food move
65,"[0, 0, 0.06060606060606061, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.07407407407407407, 0, 0, 2.0, 0, 0, 0.06060606060606061, 0, 0, 2.0, 0, 0, 0.07407407407407407]","[1, 0, 0, 0]",wall move
66,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",wall move
67,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",wall move
68,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",wall move
69,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",wall move
70,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",wall move
71,"[0, 0, 2.0, 0, 0, 0.07407407407407407, 0, 0, 0.15384615384615385, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.07407407407407407, 1, 0, 0.15384615384615385]","[0, 0, 0, 1]",wall move
72,"[0, 0, 2.0, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857]","[0, 0, 0, 1]",wall move
73,"[0, 1, 0.09523809523809523, 0, 0, 0.4, 0, 0, 0.05714285714285714, 1, 0, 0.05128205128205128, 0, 0, 0.4, 0, 0, 0.09523809523809523, 0, 0, 0.4, 0, 0, 0.05714285714285714]","[0, 1, 0, 0]",munch
74,"[0, 0, 2.0, 0, 0, 0.08695652173913043, 0, 0, 0.11764705882352941, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.08695652173913043, 1, 0, 0.11764705882352941]","[0, 0, 0, 1]",wall move
75,"[0, 0, 0.03508771929824561, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.6666666666666666, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.6666666666666666]","[1, 0, 0, 0]",wall move
76,"[1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
77,"[0, 1, 0.2857142857142857, 0, 0, 0.6666666666666666, 0, 0, 0.05405405405405406, 1, 0, 0.03773584905660377, 0, 0, 0.6666666666666666, 0, 0, 0.2857142857142857, 0, 0, 0.6666666666666666, 0, 0, 0.05405405405405406]","[0, 1, 0, 0]",munch
78,"[0, 0, 0.04878048780487805, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.10526315789473684, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.10526315789473684, 0, 0, 2.0]","[1, 0, 0, 0]",wall move
79,"[0, 0, 2.0, 0, 0, 0.4, 0, 0, 0.05714285714285714, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.4, 0, 0, 0.05714285714285714]","[0, 0, 0, 1]",wall move
80,"[0, 0, 2.0, 0, 0, 0.6666666666666666, 0, 0, 0.05405405405405406, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.6666666666666666, 1, 0, 0.05405405405405406]","[0, 0, 0, 1]",wall move
81,"[0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.05128205128205128]","[0, 1, 0, 0]",wall move
82,"[0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.05128205128205128]","[1, 0, 0, 0]",wall move
83,"[0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.05128205128205128]","[1, 0, 0, 0]",wall move
84,"[0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.05128205128205128]","[0, 1, 0, 0]",wall move
85,"[0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.05128205128205128, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.05128205128205128]","[0, 0, 1, 0]",wall move
86,"[0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 2.0, 0, 1, 0.05128205128205128]","[0, 1, 0, 0]",wall move
87,"[0, 0, 2.0, 0, 0, 0.6666666666666666, 0, 0, 0.05405405405405406, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.6666666666666666, 1, 0, 0.05405405405405406]","[0, 0, 1, 0]",wall move
88,"[0, 0, 0.05405405405405406, 0, 1, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.08695652173913043, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 0, 0, 0.08695652173913043, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",food move
89,"[0, 1, 0.05128205128205128, 0, 0, 0.10526315789473684, 1, 0, 0.09523809523809523, 0, 0, 0.09523809523809523, 0, 0, 0.10526315789473684, 0, 0, 0.09523809523809523, 0, 0, 0.10526315789473684, 0, 0, 0.09523809523809523]","[0, 1, 0, 0]",food move
90,"[0, 1, 0.05128205128205128, 0, 0, 0.10526315789473684, 1, 0, 0.09523809523809523, 0, 0, 0.09523809523809523, 0, 0, 0.10526315789473684, 0, 0, 0.09523809523809523, 0, 0, 0.10526315789473684, 0, 0, 0.09523809523809523]","[0, 1, 0, 0]",food move
91,"[0, 0, 0.06451612903225806, 0, 1, 0.08, 0, 0, 0.13333333333333333, 1, 0, 0.06896551724137931, 0, 0, 0.08, 0, 0, 0.13333333333333333, 0, 0, 0.08, 0, 0, 0.13333333333333333]","[0, 0, 0, 1]",food move
92,"[0, 1, 0.05128205128205128, 0, 0, 0.18181818181818182, 1, 0, 0.06896551724137931, 0, 0, 0.09523809523809523, 0, 0, 0.18181818181818182, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 0, 0, 0.09523809523809523]","[0, 1, 0, 0]",food move
93,"[0, 1, 0.05128205128205128, 0, 0, 0.2222222222222222, 1, 0, 0.06451612903225806, 0, 0, 0.09523809523809523, 0, 0, 0.2222222222222222, 0, 0, 0.06451612903225806, 0, 0, 0.2222222222222222, 0, 0, 0.09523809523809523]","[0, 1, 0, 0]",food move
94,"[0, 0, 0.05405405405405406, 0, 1, 0.18181818181818182, 1, 0, 0.06896551724137931, 0, 0, 0.08695652173913043, 0, 0, 0.18181818181818182, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 0, 0, 0.08695652173913043]","[0, 0, 0, 1]",munch
95,"[0, 0, 0.06451612903225806, 0, 0, 0.11764705882352941, 1, 0, 0.08695652173913043, 0, 1, 0.06896551724137931, 0, 0, 0.11764705882352941, 0, 0, 0.08695652173913043, 0, 0, 0.11764705882352941, 0, 0, 0.08695652173913043]","[1, 0, 0, 0]",food move
96,"[0, 1, 0.11764705882352941, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.046511627906976744, 0, 0, 0.11764705882352941, 0, 0, 0.18181818181818182, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 1, 0, 0]",munch
97,"[0, 1, 0.15384615384615385, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.0425531914893617, 0, 0, 0.15384615384615385, 0, 0, 0.18181818181818182, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 1, 0, 0]",munch
98,"[0, 0, 0.05128205128205128, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.09523809523809523, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523]","[1, 0, 0, 0]",wall move
99,"[0, 0, 0.05128205128205128, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.09523809523809523, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523]","[1, 0, 0, 0]",wall move
100,"[0, 0, 0.05128205128205128, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.09523809523809523, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523]","[1, 0, 0, 0]",wall move
101,"[0, 0, 0.05405405405405406, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.08695652173913043, 0, 0, 2.0, 0, 0, 0.05405405405405406, 0, 0, 2.0, 0, 0, 0.08695652173913043]","[0, 1, 0, 0]",wall move
